Date,Year,Month,Day,Open Price,Low Price,High Price,AVG Price,Close Price,Volume
2022-05-11,2022,May,11,176.089996,165.550003,180.919998,173.2350005,166.369995,12665500
2022-05-12,2022,May,12,163.960007,162.710007,177.580002,170.1450045,174.309998,17662100
2022-05-13,2022,May,13,177.160004,176.009995,187.770004,181.8899995,187.639999,13136300
2022-05-16,2022,May,16,193.300003,185.699997,195.889999,190.794998,186.509995,16145000
2022-05-17,2022,May,17,189.169998,185.169998,191.399994,188.28499599999998,190.559998,9876700
2022-05-18,2022,May,18,186.720001,176.270004,187.699997,181.9850005,177.190002,9665600
2022-05-19,2022,May,19,178.050003,175.710007,186.300003,181.00500499999998,183.479996,10448500
2022-05-20,2022,May,20,185.869995,179.770004,190.190002,184.980003,186.350006,10429400
2022-05-23,2022,May,23,186.149994,177.889999,187.660004,182.77500149999997,187.440002,9602000
2022-05-24,2022,May,24,182.0,177.169998,184.0,180.58499899999998,180.339996,7706400
2022-05-25,2022,May,25,180.279999,180.169998,188.869995,184.5199965,187.830002,8522100
2022-05-26,2022,May,26,186.490005,183.089996,192.339996,187.714996,191.399994,8049900
2022-05-27,2022,May,27,193.190002,190.369995,195.25,192.8099975,195.190002,8586000
2022-05-31,2022,May,31,196.179993,190.800003,199.949997,195.375,197.440002,11398500
2022-06-01,2022,June,1,198.699997,191.660004,202.740005,197.20000449999998,192.910004,8416200
2022-06-02,2022,June,2,192.020004,191.720001,205.470001,198.595001,205.089996,9623100
2022-06-03,2022,June,3,200.139999,198.050003,202.949997,200.5,198.979996,7191800
2022-06-06,2022,June,6,202.089996,195.380005,203.869995,199.625,197.139999,5372000
2022-06-07,2022,June,7,194.869995,193.0,199.600006,196.300003,198.610001,4839500
2022-06-08,2022,June,8,197.949997,197.639999,207.380005,202.510002,202.830002,7244100
2022-06-09,2022,June,9,200.649994,192.539993,201.690002,197.11499750000002,192.770004,6949000
2022-06-10,2022,June,10,182.639999,180.850006,185.860001,183.3550035,182.940002,13065600
2022-06-13,2022,June,13,177.070007,168.960007,179.089996,174.0250015,169.690002,10222400
2022-06-14,2022,June,14,169.75,164.279999,172.059998,168.16999850000002,167.539993,11555300
2022-06-15,2022,June,15,169.259995,168.529999,183.850006,176.1900025,180.110001,12396000
2022-06-16,2022,June,16,174.0,171.559998,176.270004,173.91500100000002,173.350006,8201300
2022-06-17,2022,June,17,173.630005,173.339996,179.649994,176.49499500000002,175.509995,12133400
2022-06-21,2022,June,21,177.600006,169.800003,178.619995,174.20999899999998,170.910004,12177600
2022-06-22,2022,June,22,170.75,170.199997,182.820007,176.510002,178.889999,11992400
2022-06-23,2022,June,23,180.5,175.869995,182.759995,179.314995,181.710007,9538200
2022-06-24,2022,June,24,183.5,181.839996,191.190002,186.514999,190.850006,12424000
2022-06-27,2022,June,27,191.770004,182.389999,191.779999,187.08499899999998,189.139999,8363900
2022-06-28,2022,June,28,189.199997,179.369995,192.199997,185.78499599999998,179.600006,7185400
2022-06-29,2022,June,29,179.550003,175.100006,180.669998,177.885002,178.360001,5766800
2022-06-30,2022,June,30,177.070007,170.300003,179.449997,174.875,174.869995,7894700
2022-07-01,2022,July,1,176.490005,174.270004,180.100006,177.185005,179.949997,5201600
2022-07-05,2022,July,5,176.279999,172.679993,185.919998,179.2999955,185.880005,7334300
2022-07-06,2022,July,6,185.199997,180.820007,186.220001,183.520004,184.059998,5753400
2022-07-07,2022,July,7,184.270004,183.5,190.210007,186.8550035,189.270004,6334500
2022-07-08,2022,July,8,186.020004,182.75,189.910004,186.33000199999998,186.979996,5835700
2022-07-11,2022,July,11,184.729996,176.889999,184.990005,180.940002,177.339996,6038800
2022-07-12,2022,July,12,177.330002,173.419998,179.779999,176.5999985,174.449997,6845300
2022-07-13,2022,July,13,170.5,169.699997,179.179993,174.439995,176.559998,12734400
2022-07-14,2022,July,14,175.559998,171.820007,177.520004,174.6700055,174.779999,9039500
2022-07-15,2022,July,15,175.580002,174.559998,189.220001,181.8899995,189.110001,16319100
2022-07-18,2022,July,18,192.5,189.800003,199.669998,194.7350005,190.919998,16322800
2022-07-19,2022,July,19,193.020004,188.399994,201.970001,195.1849975,201.630005,28178700
2022-07-20,2022,July,20,208.169998,200.100006,216.970001,208.53500350000002,216.440002,53920300
2022-07-21,2022,July,21,214.300003,211.5,224.320007,217.91000350000002,223.880005,23430100
2022-07-22,2022,July,22,222.380005,218.440002,229.350006,223.895004,220.440002,17805500
2022-07-25,2022,July,25,221.309998,216.350006,225.229996,220.79000100000002,218.509995,10935200
2022-07-26,2022,July,26,216.660004,211.639999,219.389999,215.514999,213.910004,9508500
2022-07-27,2022,July,27,216.479996,214.580002,227.779999,221.1800005,226.75,10508400
2022-07-28,2022,July,28,224.600006,219.669998,228.100006,223.885002,226.020004,8972700
2022-07-29,2022,July,29,223.289993,222.399994,230.75,226.574997,224.899994,9064900
2022-08-01,2022,August,1,223.100006,221.0,228.389999,224.6949995,226.210007,5525000
2022-08-02,2022,August,2,222.759995,220.880005,228.199997,224.54000100000002,221.419998,6361300
2022-08-03,2022,August,3,224.789993,222.419998,228.100006,225.260002,226.729996,6400700
2022-08-04,2022,August,4,227.679993,225.050003,232.070007,228.560005,229.910004,7142700
2022-08-05,2022,August,5,225.300003,222.869995,228.619995,225.744995,226.779999,5539700
2022-08-08,2022,August,8,227.490005,226.410004,241.960007,234.1850055,233.490005,10982100
2022-08-09,2022,August,9,231.619995,224.649994,232.199997,228.4249955,229.940002,6181200
2022-08-10,2022,August,10,236.990005,236.600006,244.539993,240.5699995,244.110001,9254800
2022-08-11,2022,August,11,244.679993,241.509995,251.619995,246.564995,242.699997,8780100
2022-08-12,2022,August,12,244.809998,243.759995,249.410004,246.58499949999998,249.300003,6098500
2022-08-15,2022,August,15,248.110001,247.509995,251.990005,249.75,249.110001,6527400
2022-08-16,2022,August,16,247.160004,244.029999,249.289993,246.659996,245.690002,5136800
2022-08-17,2022,August,17,241.179993,237.559998,244.240005,240.9000015,241.149994,5627200
2022-08-18,2022,August,18,241.960007,239.279999,246.479996,242.8799975,245.169998,5280400
2022-08-19,2022,August,19,240.949997,235.679993,243.289993,239.484993,241.160004,7504700
2022-08-22,2022,August,22,232.550003,224.589996,233.479996,229.034996,226.539993,8630100
2022-08-23,2022,August,23,226.460007,224.300003,229.899994,227.0999985,224.550003,5276900
2022-08-24,2022,August,24,225.660004,223.940002,234.100006,229.020004,229.610001,5426300
2022-08-25,2022,August,25,230.240005,229.0,234.160004,231.58000199999998,233.979996,3766900
2022-08-26,2022,August,26,233.630005,223.149994,236.949997,230.0499955,223.279999,5349800
