Date,Year,Month,Day,Open Price,Low Price,High Price,AVG Price,Close Price,Volume,Company Name
2022-05-24,2022,May,24,72.970001,71.269997,73.330002,72.2999995,72.720001,9227700.0,Starbucks
2022-05-25,2022,May,25,72.720001,71.93,73.5,72.715,72.480003,8344400.0,Starbucks
2022-05-26,2022,May,26,72.949997,72.870003,74.769997,73.82,74.489998,8940900.0,Starbucks
2022-05-27,2022,May,27,75.230003,75.150002,76.720001,75.9350015,76.709999,8498400.0,Starbucks
2022-05-31,2022,May,31,76.970001,76.550003,79.660004,78.10500350000001,78.5,23361800.0,Starbucks
2022-06-01,2022,June,1,78.75,76.050003,78.879997,77.465,76.279999,7579000.0,Starbucks
2022-06-02,2022,June,2,76.540001,75.849998,79.5,77.674999,79.419998,10241500.0,Starbucks
2022-06-03,2022,June,3,79.0,78.32,79.900002,79.110001,79.050003,10415700.0,Starbucks
2022-06-06,2022,June,6,79.699997,78.529999,81.300003,79.915001,78.980003,7239400.0,Starbucks
2022-06-07,2022,June,7,78.57,78.260002,79.75,79.005001,79.470001,5517100.0,Starbucks
2022-06-08,2022,June,8,78.900002,78.260002,79.769997,79.0149995,78.470001,5178300.0,Starbucks
2022-06-09,2022,June,9,77.970001,77.730003,80.269997,79.0,78.910004,13248100.0,Starbucks
2022-06-10,2022,June,10,77.019997,75.660004,77.790001,76.7250025,75.669998,8694300.0,Starbucks
2022-06-13,2022,June,13,73.089996,71.910004,74.010002,72.960003,72.360001,9282800.0,Starbucks
2022-06-14,2022,June,14,72.849998,71.529999,73.839996,72.68499750000001,72.309998,7635600.0,Starbucks
2022-06-15,2022,June,15,73.25,73.110001,75.269997,74.189999,74.190002,7682300.0,Starbucks
2022-06-16,2022,June,16,72.43,70.349998,72.610001,71.47999949999999,70.949997,10147000.0,Starbucks
2022-06-17,2022,June,17,71.080002,70.769997,72.440002,71.6049995,71.870003,9824300.0,Starbucks
2022-06-21,2022,June,21,73.059998,72.029999,73.169998,72.5999985,72.959999,7872500.0,Starbucks
2022-06-22,2022,June,22,72.370003,72.220001,73.82,73.0200005,73.300003,6702200.0,Starbucks
2022-06-23,2022,June,23,73.860001,73.510002,75.360001,74.4350015,75.199997,6586400.0,Starbucks
2022-06-24,2022,June,24,75.660004,75.550003,78.150002,76.8500025,78.110001,18012000.0,Starbucks
2022-06-27,2022,June,27,78.0,77.269997,78.440002,77.8549995,77.68,6672200.0,Starbucks
2022-06-28,2022,June,28,78.389999,76.190002,79.889999,78.0400005,76.339996,7206400.0,Starbucks
2022-06-29,2022,June,29,76.209999,75.639999,77.150002,76.39500050000001,76.43,8983900.0,Starbucks
2022-06-30,2022,June,30,76.010002,74.870003,76.879997,75.875,76.389999,6781100.0,Starbucks
2022-07-01,2022,July,1,76.730003,76.540001,79.470001,78.005001,79.260002,7539200.0,Starbucks
2022-07-05,2022,July,5,78.019997,77.360001,79.550003,78.45500200000001,79.519997,8087800.0,Starbucks
2022-07-06,2022,July,6,79.830002,78.18,80.470001,79.3250005,78.860001,4652800.0,Starbucks
2022-07-07,2022,July,7,78.809998,78.370003,79.650002,79.0100025,79.239998,5395600.0,Starbucks
2022-07-08,2022,July,8,78.690002,78.269997,79.629997,78.949997,79.279999,3927100.0,Starbucks
2022-07-11,2022,July,11,78.849998,77.43,79.050003,78.2400015,77.900002,5351500.0,Starbucks
2022-07-12,2022,July,12,78.360001,77.379997,79.440002,78.4099995,77.760002,5393400.0,Starbucks
2022-07-13,2022,July,13,75.989998,75.730003,78.540001,77.135002,77.919998,3897500.0,Starbucks
2022-07-14,2022,July,14,77.089996,76.809998,78.370003,77.5900005,78.199997,4504500.0,Starbucks
2022-07-15,2022,July,15,78.610001,78.610001,80.209999,79.41,79.620003,5584100.0,Starbucks
2022-07-18,2022,July,18,80.029999,80.0,81.669998,80.83499900000001,80.230003,6768800.0,Starbucks
2022-07-19,2022,July,19,81.110001,80.910004,82.669998,81.790001,82.550003,5949200.0,Starbucks
2022-07-20,2022,July,20,82.480003,81.889999,83.470001,82.68,83.269997,6850600.0,Starbucks
2022-07-21,2022,July,21,82.949997,82.650002,83.610001,83.13000149999999,83.540001,7695300.0,Starbucks
2022-07-22,2022,July,22,84.160004,82.839996,84.43,83.634998,83.589996,6283600.0,Starbucks
2022-07-25,2022,July,25,83.589996,81.040001,83.699997,82.369999,81.5,5861100.0,Starbucks
2022-07-26,2022,July,26,81.220001,80.0,81.419998,80.70999900000001,80.309998,6587000.0,Starbucks
2022-07-27,2022,July,27,81.230003,81.120003,83.410004,82.2650035,82.959999,6372600.0,Starbucks
2022-07-28,2022,July,28,83.190002,82.82,84.889999,83.85499949999999,84.669998,5594600.0,Starbucks
2022-07-29,2022,July,29,84.599998,83.93,84.980003,84.45500150000001,84.779999,5802700.0,Starbucks
2022-08-01,2022,August,1,84.190002,84.029999,85.589996,84.80999750000001,84.910004,7313700.0,Starbucks
2022-08-02,2022,August,2,84.699997,83.620003,85.139999,84.380001,83.709999,7254700.0,Starbucks
2022-08-03,2022,August,3,86.010002,83.910004,87.970001,85.94000249999999,87.269997,12915700.0,Starbucks
2022-08-04,2022,August,4,87.209999,86.57,88.279999,87.4249995,86.879997,7086700.0,Starbucks
2022-08-05,2022,August,5,85.760002,84.919998,86.150002,85.535,85.730003,4835100.0,Starbucks
2022-08-08,2022,August,8,86.150002,85.419998,86.860001,86.1399995,85.720001,4878400.0,Starbucks
2022-08-09,2022,August,9,85.739998,84.459999,85.830002,85.1450005,84.839996,3498400.0,Starbucks
2022-08-10,2022,August,10,86.5,86.089996,86.900002,86.494999,86.489998,5072300.0,Starbucks
2022-08-11,2022,August,11,86.940002,86.5,87.550003,87.0250015,87.269997,5595700.0,Starbucks
2022-08-12,2022,August,12,87.309998,87.190002,88.400002,87.79500200000001,88.309998,5154000.0,Starbucks
2022-08-15,2022,August,15,88.110001,88.010002,89.25,88.630001,89.160004,5601000.0,Starbucks
2022-08-16,2022,August,16,88.779999,88.540001,89.93,89.23500050000001,89.400002,4580800.0,Starbucks
2022-08-17,2022,August,17,88.400002,87.860001,89.0,88.4300005,88.349998,3831300.0,Starbucks
2022-08-18,2022,August,18,88.029999,87.68,88.779999,88.2299995,88.550003,3428300.0,Starbucks
2022-08-19,2022,August,19,87.769997,86.550003,87.970001,87.260002,86.919998,4597700.0,Starbucks
2022-08-22,2022,August,22,85.379997,84.339996,85.550003,84.9449995,84.949997,5915200.0,Starbucks
2022-08-23,2022,August,23,84.849998,84.580002,85.610001,85.0950015,84.690002,4560400.0,Starbucks
2022-08-24,2022,August,24,84.760002,84.480003,86.480003,85.480003,86.050003,4386000.0,Starbucks
2022-08-25,2022,August,25,86.349998,86.300003,87.629997,86.965,87.389999,4236300.0,Starbucks
2022-08-26,2022,August,26,87.510002,83.959999,87.989998,85.9749985,84.059998,6674900.0,Starbucks
2022-08-29,2022,August,29,83.199997,83.040001,84.660004,83.8500025,84.120003,5035500.0,Starbucks
2022-08-30,2022,August,30,84.18,82.690002,85.019997,83.8549995,83.410004,6812500.0,Starbucks
2022-08-31,2022,August,31,83.870003,83.650002,84.760002,84.20500200000001,84.07,6570100.0,Starbucks
2022-09-01,2022,September,1,83.699997,82.93,85.470001,84.2000005,85.400002,7556800.0,Starbucks
2022-09-02,2022,September,2,85.470001,82.550003,85.769997,84.16,82.940002,10336800.0,Starbucks
2022-09-06,2022,September,6,83.07,81.669998,84.620003,83.14500050000001,84.519997,11062800.0,Starbucks
2022-09-07,2022,September,7,85.110001,84.919998,88.620003,86.77000050000001,88.309998,9946800.0,Starbucks
2022-09-08,2022,September,8,87.300003,87.160004,89.480003,88.3200035,89.459999,7721100.0,Starbucks
2022-09-09,2022,September,9,89.5,88.639999,89.949997,89.29499799999999,88.690002,7094600.0,Starbucks
2022-09-12,2022,September,12,89.769997,88.540001,90.379997,89.45999900000001,89.07,9078900.0,Starbucks
2022-09-13,2022,September,13,86.720001,86.07,89.300003,87.6850015,87.839996,16033600.0,Starbucks
2022-09-14,2022,September,14,89.57,89.510002,93.480003,91.4950025,92.699997,24320600.0,Starbucks
2022-09-15,2022,September,15,92.089996,91.730003,93.150002,92.44000249999999,92.220001,11052400.0,Starbucks
2022-09-16,2022,September,16,91.150002,90.650002,92.099998,91.375,91.309998,11987600.0,Starbucks
2022-09-19,2022,September,19,90.889999,90.830002,92.550003,91.69000249999999,92.139999,6287000.0,Starbucks
2022-09-20,2022,September,20,91.660004,90.099998,92.019997,91.05999750000001,90.790001,6560000.0,Starbucks
2022-09-21,2022,September,21,91.290001,88.57,91.519997,90.04499849999999,88.599998,8806800.0,Starbucks
2022-09-22,2022,September,22,88.0,84.379997,88.019997,86.199997,84.699997,9953000.0,Starbucks
2022-09-23,2022,September,23,83.900002,83.230003,84.440002,83.8350025,84.169998,7153200.0,Starbucks
2022-09-26,2022,September,26,84.309998,84.279999,86.029999,85.154999,84.809998,7583500.0,Starbucks
2022-09-27,2022,September,27,85.970001,83.169998,86.5,84.83499900000001,84.279999,8628800.0,Starbucks
2022-09-28,2022,September,28,84.68,84.25,87.480003,85.8650015,87.110001,7850800.0,Starbucks
2022-09-29,2022,September,29,86.809998,85.610001,87.339996,86.4749985,86.57,6881500.0,Starbucks
2022-09-30,2022,September,30,86.57,84.150002,86.699997,85.4249995,84.260002,7737500.0,Starbucks
2022-10-03,2022,October,3,84.75,83.800003,86.220001,85.010002,85.620003,6739900.0,Starbucks
2022-10-04,2022,October,4,87.089996,86.860001,88.949997,87.904999,88.510002,5982400.0,Starbucks
2022-10-05,2022,October,5,87.730003,87.550003,90.639999,89.095001,90.120003,7980800.0,Starbucks
2022-10-06,2022,October,6,90.190002,89.260002,90.900002,90.08000200000001,89.349998,6893800.0,Starbucks
2022-10-07,2022,October,7,88.540001,86.300003,88.900002,87.6000025,87.029999,6606400.0,Starbucks
2022-10-10,2022,October,10,87.010002,86.129997,87.57,86.8499985,87.059998,5092400.0,Starbucks
2022-10-11,2022,October,11,86.709999,85.639999,87.199997,86.41999799999999,86.209999,5531300.0,Starbucks
2022-10-12,2022,October,12,87.0,86.410004,88.059998,87.235001,86.870003,5261900.0,Starbucks
2022-10-13,2022,October,13,85.089996,84.709999,89.970001,87.34,89.370003,7616600.0,Starbucks
2022-10-14,2022,October,14,90.010002,86.239998,90.699997,88.4699975,86.370003,6315200.0,Starbucks
2022-10-17,2022,October,17,87.900002,87.809998,89.220001,88.51499949999999,88.900002,6255300.0,Starbucks
2022-10-18,2022,October,18,90.110001,88.080002,90.470001,89.2750015,88.959999,5484400.0,Starbucks
2022-10-19,2022,October,19,88.389999,87.010002,89.129997,88.0699995,87.519997,6473400.0,Starbucks
2022-10-20,2022,October,20,87.330002,86.470001,88.230003,87.35000199999999,86.790001,4540700.0,Starbucks
2022-10-21,2022,October,21,87.0,86.559998,88.970001,87.76499949999999,88.610001,9088800.0,Starbucks
2022-10-24,2022,October,24,86.900002,82.43,87.510002,84.970001,83.760002,16499300.0,Starbucks
2022-10-25,2022,October,25,84.099998,84.099998,86.0,85.049999,85.209999,10674000.0,Starbucks
2022-10-26,2022,October,26,85.610001,85.480003,88.230003,86.855003,85.889999,9987000.0,Starbucks
2022-10-27,2022,October,27,86.129997,84.080002,86.400002,85.240002,85.279999,9524600.0,Starbucks
2022-10-28,2022,October,28,85.169998,84.309998,87.790001,86.0499995,87.099998,8284900.0,Starbucks
2022-10-31,2022,October,31,86.599998,85.949997,87.57,86.7599985,86.589996,7401100.0,Starbucks
2022-11-01,2022,November,1,88.059998,86.580002,88.879997,87.72999949999999,87.099998,6219600.0,Starbucks
2022-11-02,2022,November,2,87.269997,84.529999,88.580002,86.5550005,84.580002,7653200.0,Starbucks
2022-11-03,2022,November,3,84.07,82.970001,85.470001,84.220001,84.68,8855100.0,Starbucks
2022-11-04,2022,November,4,91.980003,90.519997,93.599998,92.05999750000001,91.860001,20194300.0,Starbucks
2022-11-07,2022,November,7,91.669998,89.279999,92.360001,90.82,90.449997,10190200.0,Starbucks
2022-11-08,2022,November,8,90.919998,90.919998,93.779999,92.3499985,92.75,9675500.0,Starbucks
2022-11-09,2022,November,9,91.610001,91.339996,92.599998,91.969997,91.629997,6271200.0,Starbucks
2022-11-10,2022,November,10,93.889999,93.330002,96.419998,94.875,96.260002,10408400.0,Starbucks
2022-11-11,2022,November,11,96.760002,96.57,98.669998,97.619999,97.379997,8294400.0,Starbucks
2022-11-14,2022,November,14,97.129997,96.690002,98.559998,97.625,97.419998,8521100.0,Starbucks
2022-11-15,2022,November,15,98.910004,97.290001,99.529999,98.41,97.830002,6410000.0,Starbucks
2022-11-16,2022,November,16,96.519997,96.260002,97.959999,97.1100005,97.07,5348900.0,Starbucks
2022-11-17,2022,November,17,95.209999,95.099998,97.010002,96.055,96.970001,5245600.0,Starbucks
2022-11-18,2022,November,18,97.75,97.129997,98.349998,97.7399975,97.949997,5964800.0,Starbucks
2022-11-21,2022,November,21,96.989998,96.699997,98.489998,97.5949975,98.32,4499200.0,Starbucks
2022-11-22,2022,November,22,98.5,97.519997,98.730003,98.125,98.43,5398600.0,Starbucks
2022-11-23,2022,November,23,98.489998,98.269997,100.080002,99.1749995,99.519997,5944900.0,Starbucks
2022-11-25,2022,November,25,99.639999,98.519997,99.879997,99.199997,99.559998,2320000.0,Starbucks
2022-11-28,2022,November,28,98.989998,98.559998,100.160004,99.360001,98.660004,5257300.0,Starbucks
2022-11-29,2022,November,29,98.959999,98.199997,99.330002,98.76499949999999,98.660004,4423900.0,Starbucks
2022-11-30,2022,November,30,99.050003,98.519997,102.559998,100.5399975,102.199997,15000800.0,Starbucks
2022-12-01,2022,December,1,102.330002,101.949997,103.559998,102.7549975,103.370003,7452300.0,Starbucks
2022-12-02,2022,December,2,102.019997,101.82,105.540001,103.6800005,105.050003,7916900.0,Starbucks
2022-12-05,2022,December,5,103.389999,103.0,104.239998,103.619999,103.550003,9285800.0,Starbucks
2022-12-06,2022,December,6,103.82,101.440002,104.190002,102.815002,102.080002,8383000.0,Starbucks
2022-12-07,2022,December,7,101.290001,101.059998,102.970001,102.01499949999999,101.870003,4194300.0,Starbucks
2022-12-08,2022,December,8,102.739998,102.400002,103.910004,103.155003,103.739998,5465100.0,Starbucks
2022-12-09,2022,December,9,103.43,101.75,103.5,102.625,101.790001,7999600.0,Starbucks
2022-12-12,2022,December,12,101.129997,100.82,102.849998,101.834999,102.699997,5796000.0,Starbucks
2022-12-13,2022,December,13,104.82,100.989998,105.199997,103.0949975,102.110001,7066000.0,Starbucks
2022-12-14,2022,December,14,102.32,100.699997,103.300003,102.0,102.190002,5624000.0,Starbucks
2022-12-15,2022,December,15,101.209999,99.449997,101.550003,100.5,99.989998,7244400.0,Starbucks
2022-12-16,2022,December,16,99.279999,98.019997,99.540001,98.779999,98.830002,13862300.0,Starbucks
2022-12-19,2022,December,19,98.43,97.730003,98.809998,98.2700005,98.300003,5771100.0,Starbucks
2022-12-20,2022,December,20,98.190002,97.269997,98.580002,97.9249995,98.0,4533500.0,Starbucks
2022-12-21,2022,December,21,96.720001,96.349998,99.07,97.709999,98.669998,5566300.0,Starbucks
2022-12-22,2022,December,22,98.449997,96.169998,98.559998,97.364998,97.760002,4756900.0,Starbucks
2022-12-23,2022,December,23,97.589996,96.879997,98.300003,97.59,98.269997,3944500.0,Starbucks
2022-12-27,2022,December,27,98.57,98.209999,99.459999,98.834999,99.199997,4402500.0,Starbucks
2022-12-28,2022,December,28,99.410004,98.389999,99.910004,99.1500015,98.599998,3491500.0,Starbucks
2022-12-29,2022,December,29,99.0,98.669998,100.650002,99.66,99.769997,3976100.0,Starbucks
2022-12-30,2022,December,30,99.190002,98.239998,99.25,98.744999,99.199997,3988900.0,Starbucks
2023-01-03,2023,January,3,100.559998,99.470001,101.169998,100.3199995,100.830002,6607700.0,Starbucks
2023-01-04,2023,January,4,102.690002,102.550003,104.730003,103.64000300000001,104.459999,8166600.0,Starbucks
2023-01-05,2023,January,5,104.489998,103.489998,105.099998,104.29499799999999,104.43,5575100.0,Starbucks
2023-01-06,2023,January,6,105.379997,105.010002,107.0,106.005001,106.690002,9644100.0,Starbucks
2023-01-09,2023,January,9,106.519997,104.43,106.68,105.555,104.739998,10124800.0,Starbucks
2023-01-10,2023,January,10,104.360001,104.169998,106.43,105.29999900000001,106.0,4183600.0,Starbucks
2023-01-11,2023,January,11,105.809998,104.860001,106.440002,105.6500015,106.300003,5634400.0,Starbucks
2023-01-12,2023,January,12,106.290001,105.169998,106.440002,105.805,105.849998,4882000.0,Starbucks
2023-01-13,2023,January,13,105.07,105.07,107.300003,106.1850015,107.230003,5529700.0,Starbucks
2023-01-17,2023,January,17,106.949997,106.309998,107.599998,106.95499799999999,106.75,7477200.0,Starbucks
2023-01-18,2023,January,18,107.139999,104.910004,107.470001,106.19000249999999,105.0,5725800.0,Starbucks
2023-01-19,2023,January,19,105.0,104.239998,105.699997,104.9699975,104.260002,5115800.0,Starbucks
2023-01-20,2023,January,20,104.400002,103.889999,105.199997,104.54499799999999,105.040001,6543500.0,Starbucks
2023-01-23,2023,January,23,105.040001,104.400002,106.889999,105.64500050000001,106.209999,6320500.0,Starbucks
2023-01-24,2023,January,24,106.400002,105.410004,106.870003,106.1400035,106.639999,5517200.0,Starbucks
2023-01-25,2023,January,25,106.059998,105.900002,107.139999,106.52000050000001,106.980003,5416900.0,Starbucks
2023-01-26,2023,January,26,107.300003,107.059998,108.800003,107.9300005,108.760002,6324100.0,Starbucks
2023-01-27,2023,January,27,108.739998,108.339996,109.760002,109.049999,109.019997,6851100.0,Starbucks
2023-01-30,2023,January,30,108.260002,107.419998,108.870003,108.14500050000001,108.400002,6880700.0,Starbucks
