Date,Year,Month,Day,Open Price,Low Price,High Price,AVG Price,Close Price,Volume
2022-12-09,2022,December,9,184.21,183.05,184.21,183.63,183.1,3116234.0
2022-12-12,2022,December,12,184.18,182.355,184.18,183.26749999999998,183.97,4691428.0
2022-12-13,2022,December,13,186.48,182.94,186.84,184.89,183.87,5634889.0
2022-12-14,2022,December,14,184.07,182.13,185.88,184.005,183.36,5392483.0
2022-12-15,2022,December,15,181.98,178.39,182.712,180.551,180.25,6128214.0
2022-12-16,2022,December,16,180.08,178.48,181.19,179.83499999999998,180.34,15708093.0
2022-12-19,2022,December,19,180.86,180.35,183.47,181.91,181.34,4447962.0
2022-12-20,2022,December,20,181.815,180.64,182.25,181.445,181.23,3249006.0
2022-12-21,2022,December,21,181.55,181.4,183.68,182.54000000000002,182.5,4237039.0
2022-12-22,2022,December,22,181.86,178.9166,182.05,180.48329999999999,181.09,4305729.0
2022-12-23,2022,December,23,180.91,180.45,182.55,181.5,182.26,2197807.0
2022-12-27,2022,December,27,183.282,182.27,183.61,182.94,183.07,3045045.0
2022-12-28,2022,December,28,184.1,181.64,184.5442,183.0921,181.75,2694335.0
2022-12-29,2022,December,29,181.92,181.89,182.86,182.375,181.98,2549240.0
2022-12-30,2022,December,30,181.38,179.29,181.96,180.625,180.66,3136222.0
2023-01-03,2023,January,3,180.59,176.57,180.75,178.66,179.41,5137404.0
2023-01-04,2023,January,4,179.41,177.55,180.54,179.04500000000002,178.97,4771321.0
2023-01-05,2023,January,5,177.96,176.86,178.77,177.815,177.1,3647074.0
2023-01-06,2023,January,6,178.81,178.8,181.83,180.315,181.1,3713163.0
2023-01-09,2023,January,9,180.44,178.81,182.77,180.79000000000002,179.33,3319247.0
2023-01-10,2023,January,10,178.79,177.09,179.53,178.31,177.85,3817303.0
2023-01-11,2023,January,11,179.39,175.68,179.71,177.695,178.05,4370110.0
2023-01-12,2023,January,12,177.66,175.32,178.37,176.845,175.78,4246606.0
2023-01-13,2023,January,13,175.4,174.165,175.73,174.9475,175.24,4720397.0
2023-01-17,2023,January,17,176.15,175.49,177.5525,176.52125,176.06,5032644.0
2023-01-18,2023,January,18,175.24,171.33,175.7384,173.5342,171.62,5032620.0
2023-01-19,2023,January,19,171.28,169.4775,172.17,170.82375,169.63,4720383.0
2023-01-20,2023,January,20,168.945,167.46,169.89,168.675,169.88,5779109.0
2023-01-23,2023,January,23,170.01,168.715,170.755,169.735,169.12,5440358.0
2023-01-24,2023,January,24,169.61,168.45,170.87,169.66,170.69,4125624.0
2023-01-25,2023,January,25,170.34,169.34,171.98,170.66,171.93,3852843.0
2023-01-26,2023,January,26,171.635,170.04,171.67,170.855,170.22,4558394.0
2023-01-27,2023,January,27,169.77,168.58,170.23,169.405,169.62,5451407.0
2023-01-30,2023,January,30,169.78,169.14,171.455,170.2975,169.48,5191504.0
2023-01-31,2023,January,31,170.2,169.32,171.07,170.195,171.02,4665460.0
2023-02-01,2023,February,1,170.88,169.51,172.32,170.915,171.56,4147699.0
2023-02-02,2023,February,2,169.46,168.5101,170.56,169.53505,169.97,5653796.0
2023-02-03,2023,February,3,170.955,167.05,171.29,169.17000000000002,169.12,5308238.0
2023-02-06,2023,February,6,169.74,169.59,172.38,170.985,171.82,5640124.0
2023-02-07,2023,February,7,170.29,169.26,172.03,170.64499999999998,171.56,6044700.0
2023-02-08,2023,February,8,171.0,170.24,171.33,170.78500000000003,171.16,5687332.0
2023-02-09,2023,February,9,175.3199,172.04,176.49,174.265,172.78,9619391.0
2023-02-10,2023,February,10,173.12,172.65,176.59,174.62,176.2,6176023.0
2023-02-13,2023,February,13,176.26,176.04,178.225,177.1325,177.77,5205130.0
2023-02-14,2023,February,14,177.1,174.79,177.245,176.01749999999998,175.77,5203003.0
2023-02-15,2023,February,15,175.0,174.59,176.05,175.32,176.01,4125761.0
2023-02-16,2023,February,16,174.74,174.54,176.9,175.72,175.51,4973168.0
2023-02-17,2023,February,17,175.155,174.83,176.42,175.625,176.28,3952139.0
2023-02-21,2023,February,21,175.58,174.67,177.41,176.04,176.18,5797271.0
2023-02-22,2023,February,22,176.72,175.77,177.43,176.60000000000002,176.12,5299484.0
2023-02-23,2023,February,23,176.66,174.99,176.99,175.99,176.31,3801421.0
2023-02-24,2023,February,24,175.46,174.29,176.33,175.31,175.96,2959174.0
2023-02-27,2023,February,27,176.97,175.65,177.25,176.45,175.91,3208625.0
2023-02-28,2023,February,28,174.88,173.195,175.06,174.1275,173.53,4317286.0
2023-03-01,2023,March,1,172.32,169.12,172.46,170.79000000000002,171.33,5359107.0
2023-03-02,2023,March,2,170.51,169.78,173.76,171.76999999999998,173.32,4476403.0
2023-03-03,2023,March,3,173.0,171.33,173.45,172.39,173.15,3627092.0
2023-03-06,2023,March,6,172.22,172.22,173.66,172.94,173.5,3611369.0
2023-03-07,2023,March,7,173.67,171.87,174.255,173.0625,172.64,4095127.0
2023-03-08,2023,March,8,172.68,171.78,173.36,172.57,173.11,2920414.0
2023-03-09,2023,March,9,173.62,171.2,174.36,172.78,171.8,4042139.0
2023-03-10,2023,March,10,172.53,170.96,174.24,172.60000000000002,172.03,4129912.0
2023-03-13,2023,March,13,172.76,172.61,177.23,174.92000000000002,173.71,8265278.0
2023-03-14,2023,March,14,172.49,171.57,173.81,172.69,173.53,6480773.0
2023-03-15,2023,March,15,173.53,173.185,176.66,174.9225,176.63,7099919.0
2023-03-16,2023,March,16,176.61,175.32,177.0,176.16,176.51,4734372.0
2023-03-17,2023,March,17,176.51,174.23,176.69,175.45999999999998,175.13,8854570.0
