Date,Year,Month,Day,Open Price,Low Price,High Price,AVG Price,Close Price,Volume
2022-06-02,2022,June,2,109.43,107.91,110.91,109.41,110.87,6243592
2022-06-03,2022,June,3,109.17,107.92,109.85,108.88499999999999,108.67,4713304
2022-06-06,2022,June,6,109.75,107.65,110.19,108.92,107.83,6362178
2022-06-07,2022,June,7,106.79,106.0,107.92,106.96000000000001,107.79,6124685
2022-06-08,2022,June,8,107.43,106.96,109.36,108.16,107.34,4877066
2022-06-09,2022,June,9,106.53,103.25,107.06,105.155,103.3,6008982
2022-06-10,2022,June,10,101.43,99.38,102.12,100.75,99.4,11090080
2022-06-13,2022,June,13,97.61,94.83,97.61,96.22,95.71,12277611
2022-06-14,2022,June,14,96.27,93.1,96.27,94.685,94.22,10482509
2022-06-15,2022,June,15,94.61,94.09,97.3,95.695,95.88,8456228
2022-06-16,2022,June,16,94.01,93.41,95.38,94.395,94.28,14039117
2022-06-17,2022,June,17,94.01,93.47,95.97,94.72,94.34,11573275
2022-06-21,2022,June,21,94.9,93.27,95.45,94.36,93.29,11473419
2022-06-22,2022,June,22,92.17,92.01,94.61,93.31,93.5,8585400
2022-06-23,2022,June,23,93.96,92.07,94.65,93.36,94.3,9537649
2022-06-24,2022,June,24,95.45,95.4,98.57,96.985,97.78,8778876
2022-06-27,2022,June,27,98.22,95.8,98.23,97.015,96.61,7666354
2022-06-28,2022,June,28,99.74,95.78,100.4,98.09,95.92,12674489
2022-06-29,2022,June,29,95.95,94.53,96.2,95.36500000000001,95.65,7250357
2022-06-30,2022,June,30,94.42,92.54,95.44,93.99000000000001,94.4,8467741
2022-07-01,2022,July,1,94.24,93.98,96.31,95.14500000000001,96.14,8504918
2022-07-05,2022,July,5,94.26,92.31,97.23,94.77000000000001,97.18,8346128
2022-07-06,2022,July,6,97.53,95.4,98.19,96.795,96.08,5949025
2022-07-07,2022,July,7,96.9,95.93,97.53,96.73,97.43,6490221
2022-07-08,2022,July,8,96.57,95.35,97.12,96.235,95.86,5670707
2022-07-11,2022,July,11,95.0,93.43,95.34,94.385,93.64,5531991
2022-07-12,2022,July,12,93.58,93.31,95.25,94.28,93.6,6556212
2022-07-13,2022,July,13,92.12,91.01,93.25,92.13,92.94,8951998
2022-07-14,2022,July,14,91.48,90.23,92.04,91.135,91.84,9247319
2022-07-15,2022,July,15,92.91,92.7,95.32,94.00999999999999,95.2,10022581
2022-07-18,2022,July,18,96.36,95.31,97.27,96.28999999999999,95.7,8748983
2022-07-19,2022,July,19,96.68,96.68,99.85,98.265,99.61,10567738
2022-07-20,2022,July,20,100.25,99.95,104.26,102.105,103.35,10932400
2022-07-21,2022,July,21,102.71,101.61,104.25,102.93,104.18,6242686
2022-07-22,2022,July,22,103.28,102.11,104.57,103.34,102.72,5420791
2022-07-25,2022,July,25,102.78,101.81,103.39,102.6,102.69,5174363
2022-07-26,2022,July,26,102.14,99.56,102.36,100.96000000000001,99.78,5262424
2022-07-27,2022,July,27,100.97,100.81,103.65,102.23,103.5,6814268
